,Children,Bandwidth_GB_Year,Age,Tenure,MonthlyCharge
1989,0,457.8089454,51,1.722680046,142.515576
6973,3,4992.327344,88,57.94661,117.4858
5836,0,6854.114445,36,69.97238,245.147
4532,2,1855.20004,71,10.65198,232.624
3209,1,933.5522742,36,2.54348,137.4836
3855,0,1240.211719,78,10.45843,197.4945
2628,3,1461.269401,76,9.38517,255.1555
7803,1,5980.119936,18,64.38615,127.4421
1410,0,571.3635369,55,2.988653862,152.495236
8257,4,5774.455432,44,61.4943,242.6281
7386,1,4996.04596,34,53.90815,104.9643
4303,2,1123.372604,62,2.865504,187.6094
6750,0,6239.882195,27,71.12356,139.9678
6555,2,6557.961131,64,70.95714,162.4538
815,0,1243.779967,29,9.44860885,217.470195
2404,1,1427.811261,73,13.67733,152.4798
5397,0,5917.693418,80,71.45086,134.9801
9956,2,5179.837965,51,58.40629,182.447
2131,3,1121.849069,31,3.543665,149.9447
1797,8,2156.405261,20,16.11472911,92.455141
3090,1,912.2540105,86,4.24454,107.4958
4184,3,874.5896088,44,6.311363,169.9378
4564,5,729.6672295,47,3.896108,179.9794
5030,4,4434.823362,18,42.19555,162.447
8048,2,4814.158709,42,56.53633,114.9838
122,1,980.9935923,65,10.04672315,114.983787
179,0,737.8564608,87,5.522376826,174.975543
9250,0,5341.756379,63,62.67099,169.9378
8095,8,4648.662738,54,48.87162,152.4884
6429,1,4693.458553,52,47.47601,277.6513
9737,3,5556.021088,43,63.56661,172.5104
4992,0,1039.380833,65,8.268405,152.4884
1157,5,1152.968935,51,8.098851806,162.493654
9003,4,5541.635777,66,59.6293,187.656
1532,1,1773.915003,72,10.54165852,200.132293
8992,0,4903.899257,46,54.28874,204.9634
7859,0,4147.013836,34,41.3275,287.6427
9110,1,5052.572623,62,55.44991,207.4811
1535,1,693.1317301,45,4.071312509,192.470522
9259,1,5169.811527,47,52.69603,142.4827
5517,7,5646.886372,33,57.49209,129.9778
2605,0,296.0266799,88,4.148103,124.9781
6127,3,3812.770109,49,43.51717,147.4421
9141,3,6174.314028,18,66.80646,114.9509
7458,2,5244.329034,30,61.46682,92.5018
2177,0,1344.476361,46,6.739405,245.175
7990,5,4734.546819,80,51.19372,94.97283
2351,4,1151.98874,82,2.763224,197.4725
9177,1,4355.447904,55,49.19446,127.525
3502,1,1528.092146,75,11.21716,159.9794
2134,4,1639.666431,31,9.637159,202.6829
1480,1,1341.595521,35,3.784962992,200.132293
2793,3,602.0049206,82,5.705638,159.9875
4843,1,1771.850524,80,16.57839,124.9607
9780,3,5994.368564,81,64.67959,242.6573
9934,1,5511.102916,49,61.85574,204.9496
4762,1,860.1917234,55,5.506063,192.4705
7191,6,4368.424816,86,48.15455,164.9889
6041,3,4086.565,72,41.60875,220.1615
9636,4,6127.671061,43,70.61283,149.9483
3445,4,732.1459678,56,4.762508,104.9629
8149,2,6316.470196,75,70.66353,230.1051
7765,0,5265.014414,81,61.49459,129.995
3620,0,932.7790894,50,5.638782,184.9853
1952,3,1807.178649,81,21.1307851,137.487242
555,1,844.8711719,88,7.604093453,162.482694
4264,2,1277.028074,19,10.40415,127.5067
1163,0,1270.22182,23,8.634921784,207.49737
1584,5,966.6292325,46,5.970269701,169.944668
6151,4,4170.169733,89,44.75964,127.4601
9720,0,4183.300117,55,46.84079,172.4733
5837,0,5385.186807,56,57.44027,245.1612
5261,2,6042.727068,69,70.54256,169.9447
5239,2,6457.917933,61,66.08159,235.1417
7913,2,4668.189279,32,51.39351,162.5007
9162,1,5075.816829,56,56.37162,174.9755
1598,1,962.0380085,87,5.78844751,117.468591
7182,4,5732.940723,68,64.26003,202.4433
300,5,750.8768234,77,4.439685675,214.952509
9660,1,5623.598666,57,64.17582,159.9642
6947,5,6105.932857,87,69.03568,182.4608
3794,1,729.4156023,74,2.002856,222.65
4572,3,1125.779521,65,4.899337,162.4538
4335,8,2119.656047,33,13.19063,162.4833
2858,7,2060.606368,45,14.40435,137.4836
5694,1,5417.867266,67,63.15946,149.9776
3142,1,1279.680473,42,12.03278,169.9741
1359,4,3293.015758,66,29.70527547,164.967019
4533,0,1194.31166,89,7.957264,242.6435
9749,0,6001.860392,84,71.58111,147.4893
5687,2,6069.194377,22,70.30403,147.4421
486,7,1115.476658,87,3.820262172,287.642733
7836,2,5975.890408,28,64.28134,210.127
9554,0,6631.578565,22,66.4055,235.1555
5900,0,6399.072403,19,71.82846,174.9618
8116,1,5788.852546,69,63.71108,242.6326
7362,2,6416.029238,43,68.80222,232.652
1152,3,2021.782055,62,14.87120712,152.44408
5382,1,3971.685185,21,45.84265,102.4746
9741,0,5453.05668,25,60.45443,172.4579
5424,1,5693.466496,63,64.61766,227.4754
8807,4,5806.10196,72,62.23897,139.9512
5186,4,3965.422778,86,44.25204,182.4608
8409,1,4043.335333,22,45.96907,124.9935
6189,2,5372.192462,76,62.58644,182.4538
9702,0,5914.162068,34,68.32444,137.4684
8269,0,4571.4966,67,52.64455,139.9568
5314,0,5887.65047,67,60.11333,235.1417
9903,1,5564.666753,46,66.46085,95.00571
665,2,333.3304389,37,1.846161288,79.978861
3353,2,1455.55459,31,11.85169,162.4526
8851,5,5868.506672,21,58.51928,164.9647
8061,3,5097.174241,36,57.7475,179.9476
642,2,1669.613093,56,14.02310297,204.961033
9242,2,4696.683851,88,52.56232,175.1331
176,1,1456.887443,58,8.850426839,119.95684
6431,1,5637.867429,52,60.22359,210.1518
9910,3,5607.361744,26,57.24323,139.9349
3438,0,1915.881708,57,11.36757,210.1051
786,4,1848.639719,50,12.96208301,129.99153
6391,4,5414.545503,38,63.28097,114.9728
9065,3,6171.94132,46,63.59084,184.9634
9927,1,6092.04938,63,61.91109,215.1591
3202,0,538.9921729,84,3.83138,162.5007
4803,8,1684.339812,68,14.45396,117.4835
7835,1,5292.78252,72,58.12044,240.1149
7940,0,6708.539556,28,69.27282,210.1051
91,0,2138.107161,63,13.85488928,222.628057
5762,0,5781.732,59,70.97645,112.4551
9027,2,5932.111783,41,69.39129,114.9658
9504,3,5640.220209,84,65.19899,129.9926
8237,1,4382.473953,66,44.72241,175.0062
1971,0,1267.471074,36,10.98841039,169.967067
2905,3,1596.175795,46,13.09678,139.9816
530,3,660.0908173,34,2.447649309,149.97755
3635,3,441.303964,88,3.443373,137.4392
996,3,1173.76564,19,4.06047424,210.156274
5852,1,3832.149233,60,40.76616,184.9963
4226,1,506.3292263,83,3.817742,152.466
5616,2,4489.267692,59,51.58472,149.9598
2312,3,1799.882577,53,6.816014,257.6375
2154,8,2196.073405,30,15.51194,222.65
5317,2,5474.602288,58,61.96895,204.9496
1427,1,1093.673208,39,4.672608309,129.959755
8630,1,6135.9085,62,64.85756,162.4608
6032,8,6623.719418,68,68.93162,164.967
4415,3,583.5711218,76,3.985217,149.9915
8818,0,4546.718887,82,47.60481,275.1336
3085,6,1099.299416,24,7.733033,149.9483
7798,3,4950.374878,27,54.41951,149.9621
9153,5,5714.467771,68,65.52,192.4885
8209,0,4138.249014,66,41.93978,245.1457
9573,1,5431.697734,61,61.32712,142.4855
9534,1,5218.302234,24,58.20259,160.0122
495,3,1218.124487,85,8.573785357,220.132293
3749,3,1931.414865,37,8.980916,222.6326
2321,1,1065.848768,70,7.458099,172.4871
4267,1,1144.50246,27,7.218929,217.4725
3405,4,600.3283664,79,4.116596,157.4836
151,2,1637.201426,72,14.53027663,220.118516
7369,0,5964.398265,29,67.87033,182.4608
694,1,2580.979643,20,28.93788212,124.97808
4417,2,2150.01852,26,21.52164,159.9349
5697,7,6400.696695,46,71.4064,202.4433
1738,3,1727.703167,20,14.93006551,107.48056
3001,3,755.0711809,27,2.258878,174.9919
167,8,1112.937102,57,8.044444101,149.959755
6111,1,5693.54601,42,56.42112,222.6326
4622,1,891.754556,67,3.27379,137.4836
2865,0,756.3419475,55,5.602813,139.9568
8544,2,5545.726878,80,57.0815,164.9785
4702,2,2212.982101,29,11.739,225.1457
2883,4,1520.458929,70,14.89363,107.5286
3031,3,1968.083882,36,13.36539,182.4433
8183,0,5760.636041,85,64.11367,200.1465
8980,1,5506.82644,76,65.09085,127.525
8528,3,4835.295615,75,56.75264,147.4738
5681,2,5473.390798,48,57.49365,142.4713
7209,0,6689.748754,22,69.62423,174.9581
5991,1,4427.447401,79,47.94402,124.9607
2276,1,785.7678294,57,6.542299,127.475
7132,2,6002.2228,22,69.46066,127.482
5705,2,6865.467972,28,70.22928,197.484
7998,1,6168.427344,72,67.72471,117.4686
5292,3,5682.278193,36,64.56659,149.9707
4304,4,946.0176525,89,4.661936,127.4421
7445,0,5806.242503,78,67.19921,207.4974
428,8,2192.693797,25,18.46162568,152.479779
7068,0,6126.890285,63,71.19605,182.447
6364,1,6377.657916,44,71.1184,207.6094
4215,0,1201.716157,72,5.540815,194.9663
426,3,1189.578203,61,11.69875604,147.473844
2223,2,1792.965757,33,10.57654,162.4676
100,0,1806.135733,69,14.46288204,222.660939
9244,5,6153.937297,32,70.48211,179.9656
3307,0,879.1284854,47,2.443144,232.6228
2762,1,2150.497966,33,18.2103,207.6386
5857,2,6167.764392,70,68.14379,127.4738
4738,0,627.8159819,52,4.731685,179.9794
7092,3,4115.795378,88,41.71275,184.9797
9632,1,4395.875018,52,46.43864,94.97283
3286,4,2162.669491,86,22.25056,182.4608
7712,4,5322.807337,59,59.71984,149.9707
7868,3,4180.404092,37,36.88134,232.6378
6067,8,6004.110633,28,60.03811,174.9768
9235,0,4643.404934,24,53.80104,144.9607
3577,1,2499.22788,63,24.84802,197.4945
1465,1,656.1054778,43,2.180613468,184.985293
7675,0,5595.740821,33,61.73523,217.484
2234,4,1164.574248,74,2.649474,184.9634
1744,3,884.3816817,76,7.772523197,159.965008
9754,1,6124.759369,66,65.71379,162.4676
6094,5,5411.328838,36,58.62812,162.4526
8781,3,5760.474223,55,61.46188,137.4836
9401,8,6687.67953,39,71.10143,222.6362
8371,3,5754.451842,65,57.4079,210.1051
5027,1,5065.133843,35,55.87684,139.9792
9234,7,6578.562564,47,66.03306,232.624
3944,0,880.3136958,31,4.008932,204.9634
6862,1,5014.268899,38,50.87987,184.9496
5350,1,5319.532385,64,61.18595,169.9671
9422,2,4554.912177,66,49.37752,175.1331
2121,2,2679.775265,77,27.98865,104.9643
4972,8,1697.797856,25,8.802664,142.4689
8576,4,3741.804448,48,41.09672,172.4742
3784,7,1711.417233,30,9.345696,202.6829
6872,2,6425.062719,63,69.13848,265.1283
916,8,1447.711265,30,12.91213895,112.455141
9394,0,5570.11497,59,63.28819,197.4876
7252,0,5241.582205,41,60.7425,157.4836
8012,0,6285.801266,65,68.78508,139.9349
5821,1,5555.86987,20,62.32519,174.9919
4403,1,1066.677081,48,8.547698,179.9794
4863,0,1178.979911,85,12.9765,149.9598
8515,1,6020.902258,85,65.91489,242.6573
5422,0,4345.907298,52,53.17302,79.97886
7733,1,5451.33929,20,61.12405,192.4567
1203,3,1340.685724,32,9.676963031,204.961033
3768,1,1569.873827,85,11.70988,142.4713
5357,0,6204.546376,50,68.72852,139.9512
3852,3,1621.89345,53,9.738632,142.4713
1926,3,944.331401,86,7.918255804,169.967067
3114,0,820.0487803,53,1.304537,159.9476
2641,4,1236.291583,88,10.00949,139.9816
7639,3,5644.976125,36,65.25844,127.475
7360,3,4095.787596,18,42.64646,150.0208
8182,1,4869.168543,76,56.03541,149.9915
7610,5,5220.600311,41,57.37651,149.9707
2728,0,922.2317794,54,2.945436,265.1283
9597,1,5368.683525,79,60.30933,92.45514
4985,4,2705.01162,42,19.9897,200.1185
6846,3,5272.104771,81,57.72932,210.138
7698,1,6475.070027,22,71.37419,187.6422
4012,3,2034.534213,81,13.79595,187.6094
2626,1,822.9997439,82,5.150963,165.0182
7238,1,4894.242924,39,55.98127,159.965
8255,0,5659.896946,23,60.97619,210.127
9565,3,5491.9286,42,61.00345,184.967
805,3,1779.049529,67,13.55218661,242.628057
4634,1,1892.964163,77,12.65954,187.6094
5247,9,5407.188993,57,59.99095,147.4421
5566,8,5365.288201,89,61.22216,117.4835
5739,3,6205.696339,53,64.98806,162.4653
5143,0,6311.188879,32,66.45525,174.9581
8265,8,4940.002327,24,48.9954,230.1051
4459,1,2045.813243,55,16.77025,147.4564
1242,3,1765.167048,22,15.16346403,139.986074
6945,1,5040.96101,48,57.85206,169.9447
5740,1,5036.334729,82,60.32779,137.4872
5325,3,5811.49739,32,67.24986,144.9607
547,3,1942.452213,61,14.96135055,190.173699
3022,0,1738.801627,18,13.90887,104.9781
5761,0,5004.36005,26,57.13921,134.9801
4031,1,1735.70733,32,17.31427,147.4713
26,1,1506.446527,47,10.40566091,222.649979
4952,4,820.2134061,57,4.73307,149.9915
5152,1,5246.867359,44,60.28236,147.4738
2508,1,2859.041314,77,27.4563,162.447
1433,5,1043.284658,61,2.256763731,152.47417
2582,4,2231.25397,59,22.34478,194.9744
1302,1,2115.906589,45,21.16641251,182.460772
5812,4,4477.609834,72,50.98192,169.9378
7349,0,4291.029972,71,44.92225,210.1518
5281,0,5184.395666,80,59.51347,214.9663
6114,1,6327.983433,24,67.99357,159.9476
1221,0,2123.334993,85,15.82334026,190.12704
7435,3,4162.046301,50,43.63637,104.9781
2548,1,1398.131991,67,9.470798,242.6326
750,1,1788.145063,69,20.07541432,147.473844
437,1,1339.709597,26,5.505247606,245.174977
4371,2,1874.421389,79,14.34892,255.1555
4448,4,1746.862212,42,6.736871,222.6281
2847,3,1540.445045,76,5.448172,225.132
1173,3,1150.450972,85,9.378558244,192.440432
7495,1,6031.932533,76,64.30983,182.4433
2699,1,1119.402193,79,10.55294,169.9741
9888,4,6003.720515,46,63.19406,235.1884
9506,0,5539.851767,79,64.94288,139.9568
6395,2,5033.827918,32,51.60111,255.1555
2481,3,950.7941169,43,7.42363,147.4713
5456,2,6322.708205,81,69.51253,162.447
8444,0,5827.639737,53,61.2082,184.9496
2706,0,617.6429974,73,1.387769,159.9656
4661,4,1512.005651,47,8.873645,117.4392
326,5,3040.553763,27,22.8577804,220.114868
1039,5,1945.444997,32,13.08606275,222.649979
2637,0,2593.650846,29,23.9038,137.4836
5022,0,6256.139215,56,68.7729,159.9476
2499,3,1224.80823,81,2.301772,222.6281
1004,1,1477.960194,86,9.188837964,132.479779
2861,4,1607.273001,36,9.693608,129.9598
3233,1,957.1118873,57,8.664975,169.9928
1870,3,1354.387011,80,10.86852566,162.511928
4245,0,1707.991573,52,17.13675,169.9447
6927,0,6469.664211,27,68.06711,182.4433
8385,3,4873.126502,74,53.15277,220.1185
534,1,673.2665835,59,2.359067126,204.961033
9827,0,5631.449762,33,61.10676,127.4421
7148,1,4571.59639,39,53.02997,159.9512
7365,2,4528.254142,54,44.04708,200.1185
585,6,1264.760574,80,9.232644617,184.967019
9914,3,5212.970867,40,60.03004,149.9778
3035,4,721.66293,32,3.101413,159.9349
4428,2,1747.993101,35,12.44495,235.1591
4089,0,911.2594992,21,3.033303,137.4698
1703,3,1683.078344,80,7.441432103,242.610632
4295,3,1943.635982,45,19.48354,137.4392
5719,3,6101.516217,83,71.7712,127.4887
491,0,2062.605873,26,10.06913982,257.63748
6899,3,6172.221046,52,69.30597,162.4526
4353,1,742.5950937,41,6.463724,157.4836
2836,4,1072.186545,76,7.606099,152.4884
2266,3,1345.843812,62,7.667371,235.1591
7718,0,5504.260765,28,59.3332,149.9928
9523,9,6099.843568,76,59.98562,202.6362
8022,5,4648.186854,78,52.66362,119.9897
4707,4,1989.102456,24,18.75702,167.4564
9843,7,5272.029955,33,56.01484,184.9647
2900,2,1263.915496,72,11.26136,152.4798
9618,1,6417.049134,59,71.28275,147.4564
2944,1,1776.804483,70,10.3362,222.6143
1916,0,758.0522649,46,4.385448215,172.462354
3185,3,1672.775155,70,16.27138,149.9598
8626,0,5386.675909,35,61.24745,169.9741
9434,2,5852.299578,30,64.93663,192.4404
7255,0,5434.927441,57,57.50632,139.9349
4246,0,1015.142572,19,1.741247,172.4404
8615,0,5748.819173,18,57.42888,220.1149
5146,0,5707.70468,27,62.70697,104.9781
8565,1,5591.052659,67,61.09569,252.6378
2518,1,2281.632997,32,17.91527,149.9447
397,1,1250.94478,73,9.797427154,142.499263
1317,2,1304.854276,49,9.22316707,94.972827
4560,2,1155.835028,39,12.09048,112.4844
121,3,1256.287854,44,4.799514433,242.657291
2449,1,1382.061516,71,13.46686,204.9797
8855,0,6095.950269,34,62.5567,200.1185
8108,4,5390.61261,89,62.58001,182.4538
1566,1,1526.143641,75,11.45756486,127.478341
1984,2,1263.008234,44,6.12261616,119.95684
4333,3,1337.6353,72,12.70316,149.9621
7910,0,4505.46376,67,52.36016,152.466
9286,1,4763.445879,25,48.66437,162.447
3918,4,1685.817734,50,9.197686,162.4676
2173,2,965.7588051,35,7.535729,114.9658
3283,3,1518.371398,29,14.66848,147.4421
8495,1,6087.218845,75,70.99524,202.4433
8584,0,4833.292191,66,52.30473,242.6326
2333,1,711.8524934,56,1.589535,149.9928
573,0,954.6181316,86,8.274610767,159.994242
3660,7,446.3286395,63,1.295137,105.011
9075,1,6624.884891,44,67.88936,222.6143
981,2,1366.71852,23,6.721823696,262.610632
9370,3,6271.997377,69,69.25128,137.4698
1407,1,2294.265591,82,17.01228541,222.632554
535,0,831.1303039,63,6.811759674,162.482694
4315,0,514.9287886,38,1.865935,159.965
4598,3,1065.856964,82,7.721518,174.9755
8622,1,5643.207448,48,61.21945,127.4601
8758,2,6001.002897,42,64.25291,137.4836
1434,4,587.0970427,39,1.915736733,119.989722
6994,2,4605.537302,88,48.91992,159.9794
2579,1,2206.253895,48,18.32904,162.447
9403,1,5694.030993,79,61.68555,275.1336
3269,0,3181.511605,64,29.19298,164.967
9553,1,5926.831312,39,68.03445,159.9349
3838,3,1274.226078,88,2.771756,242.6106
1867,6,1639.902323,19,14.45556293,149.977753
1454,3,1698.876321,26,10.11687657,139.934918
1786,1,1332.641107,24,7.351090778,232.670689
9912,6,5995.155978,65,69.6182,114.9658
7095,1,5874.187965,47,64.21579,207.6386
2521,0,1547.513225,57,9.303687,172.4705
4439,1,679.3728327,72,4.849803,182.4833
1820,1,1333.179191,48,12.92578188,169.974105
5615,6,5930.097335,39,60.5779,129.9915
2929,2,2380.995294,30,21.53238,204.9634
51,5,1234.244324,68,7.338869531,187.656013
4726,0,1484.886328,35,12.2982,197.4945
5716,1,4675.756402,72,55.38418,159.983
5465,0,4642.032276,54,50.90725,207.4673
469,0,955.0876357,83,8.001673351,129.976324
2629,4,1438.002278,80,13.81972,162.4713
6513,0,4578.436559,85,54.26219,104.9923
7467,2,5147.07499,22,50.80222,152.4579
3945,7,2864.553994,78,25.43212,252.6378
6204,0,4088.474484,42,47.67411,127.4958
4262,0,400.9668713,88,3.160399,139.9568
1858,4,1275.194778,66,8.703568707,92.455141
9532,1,6412.993801,69,69.60264,142.4713
865,1,1215.412022,61,1.901532614,235.141716
6390,1,6609.12279,49,67.89706,222.6143
7212,3,6236.509405,45,65.80077,139.965
4921,10,3076.415699,35,25.07759,235.1591
8101,3,5856.498648,84,58.2471,247.6647
4792,0,1063.934914,84,9.553951,204.961
8854,3,6761.913319,53,71.53606,172.4404
6250,3,5185.798642,88,50.47035,212.6228
5936,8,6395.482406,50,71.16283,192.4404
425,7,1317.766231,61,7.218752772,230.105118
188,1,418.6206885,70,5.587484456,79.978861
5629,0,4924.466653,23,54.2897,162.5119
4359,2,1476.916161,89,9.975367,172.4705
228,2,1402.20491,80,5.071456681,232.637807
7757,8,6597.155039,37,68.12367,184.9797
7677,1,4417.033945,42,49.20927,129.995
2741,1,1087.358783,81,7.193929,127.4421
1041,1,500.7187258,41,1.415346194,172.455519
4075,8,1449.618401,45,2.558218,197.484
9140,4,5999.064003,64,64.20102,265.147
6118,2,6297.599869,63,63.41331,267.6427
6902,0,6187.589564,19,67.70921,187.656
471,2,1562.32774,62,14.68600159,172.44408
2921,4,1821.752133,44,10.16511,174.9581
1905,0,785.6688028,66,6.044266101,152.495236
8876,1,4968.105348,85,59.47229,159.983
801,4,1479.639912,75,4.612099351,222.632554
1487,1,986.7489919,69,11.44196811,124.97808
8441,0,5598.395048,31,66.74044,112.4844
227,1,1333.894229,57,9.004964377,127.473844
7890,1,5999.971412,19,64.12593,190.1737
1128,1,803.3925622,39,6.19002424,159.987503
5070,1,6184.630782,75,66.95875,162.447
9166,3,5809.15662,21,63.86178,162.4982
2208,3,1449.160419,47,7.394788,265.1283
7993,2,6626.316041,70,71.805,172.4885
9842,4,4731.734078,49,46.0622,152.4579
6559,0,6035.974102,77,63.29423,220.1149
9921,1,5931.595281,29,65.21231,107.482
3153,3,1708.507227,32,7.930205,197.4725
4441,7,924.0234298,64,1.081032,230.1344
7505,0,5704.335112,32,66.85534,137.4872
8957,3,5126.884955,29,51.77932,159.9476
6215,4,4881.833739,64,56.7422,147.4421
9598,0,5306.886205,69,61.52544,162.4713
2144,1,840.8676674,40,1.375567,235.1591
7411,0,6542.285377,67,69.37716,187.6094
8929,1,4549.826317,48,42.47353,242.6106
2374,0,2698.307074,32,23.16242,142.4713
2577,3,1288.15613,61,5.525134,277.6513
1632,1,464.4748418,82,1.609325308,172.455519
4832,1,982.3393738,45,9.389007,179.9656
2298,2,1523.207235,43,9.487121,265.147
5033,5,5832.1205,56,64.01205,175.1331
156,0,990.0555076,87,7.983887266,187.642236
8046,3,6369.806909,59,70.99802,172.4871
6706,4,5291.226692,72,57.86914,117.4872
3349,0,1777.783534,20,15.45104,104.9643
2879,8,1498.93018,52,11.52687,149.9776
3413,1,713.2732917,64,5.879094,179.9794
7768,1,6507.865826,20,68.67008,152.4624
4189,4,1564.304827,24,5.648594,174.9581
9610,0,5441.87637,78,64.05212,127.4586
9734,1,4963.969106,35,44.42372,270.1604
7251,0,6427.889022,82,67.19853,202.65
7613,3,6246.215724,42,68.78714,92.45514
6919,1,5898.900513,59,68.13863,172.5104
9681,3,4338.467486,58,46.24636,184.9939
9671,4,5343.09004,45,54.64758,172.4705
4794,10,1058.58579,33,2.628926,162.4818
5654,4,4531.04303,43,50.58158,127.4887
2495,0,2329.543371,54,16.87028,210.1051
7304,3,5812.078197,47,62.64968,104.9781
2372,3,1493.681751,89,14.59541,192.4885
4091,4,1335.552296,25,11.88029,169.9928
9471,2,5958.960225,52,64.04466,129.9483
3461,0,1006.779634,41,7.621099,194.9768
7006,0,5674.496257,81,65.58524,174.9919
5391,0,6182.78427,42,67.94385,232.6415
7172,1,4872.598082,48,46.41276,242.6106
5696,1,6359.975691,65,70.70015,114.9509
5664,1,5301.860931,41,54.8774,149.9378
4503,1,708.4028154,70,5.141927,182.497
2550,3,1284.333326,23,9.05316,172.4733
4715,4,1012.08426,57,9.260977,114.9728
847,5,853.3942121,86,1.078815111,142.482694
3344,0,704.3641607,79,3.707186,104.9643
938,2,1729.48154,62,15.90065569,192.440432
4825,1,883.2058714,20,5.156634,169.9378
9693,3,4639.229318,50,52.58164,137.4392
8863,0,5716.521753,37,61.18471,117.4686
8610,0,5413.975477,59,57.54686,162.4538
5354,2,4783.923527,57,54.60704,119.9897
5477,3,6769.093084,21,68.1383,200.1323
9723,0,4863.46622,52,48.98892,184.9634
756,1,1708.75722,84,19.9441873,147.442069
4750,0,1745.25049,51,13.89557,220.1615
2644,0,336.3711095,86,1.200106,164.9889
4162,1,1386.235112,82,11.25684,220.1323
8648,1,6207.390421,87,70.89862,214.9663
3165,1,1045.674943,46,6.894406,174.991
6497,0,5843.100552,19,63.66597,240.1149
5987,4,4939.508383,82,57.16208,114.9658
3873,1,1023.023077,86,9.621889,182.497
7751,1,5447.340664,86,57.47194,154.9618
6523,0,5280.797475,38,60.09896,162.4689
3418,0,1027.720431,71,5.360993,147.4564
9904,4,5943.557361,80,60.04825,200.1323
2061,4,1554.801608,78,13.63369,214.9663
549,2,908.4356314,53,2.519975147,149.974105
4453,9,2267.103404,77,19.22796,114.9509
